Date,Affected pages
2026-05-11,69
2026-05-12,68
2026-05-13,68
2026-05-14,68
2026-05-15,68
2026-05-16,65
2026-05-17,65
2026-05-18,65
2026-05-19,63
2026-05-20,63
2026-05-21,63
2026-05-22,63
2026-05-23,64
2026-05-24,64
2026-05-25,64
2026-05-26,65
2026-05-27,65
2026-05-28,65
2026-05-29,65
2026-05-30,76
2026-05-31,76
2026-06-01,76
2026-06-02,83
2026-06-03,83
2026-06-04,83
2026-06-05,83
2026-06-06,83
2026-06-07,83
2026-06-08,83
2026-06-09,84
2026-06-10,84
2026-06-11,84
2026-06-12,84
2026-06-13,83
2026-06-14,83
2026-06-15,83
2026-06-16,83
2026-06-17,83
2026-06-18,83
2026-06-19,83
2026-06-20,83
2026-06-21,83
2026-06-22,83
2026-06-23,83
2026-06-24,83
2026-06-25,83
2026-06-26,83
2026-06-27,83
2026-06-28,83
2026-06-29,83
2026-06-30,83
2026-07-01,70
2026-07-02,70
2026-07-03,70
2026-07-04,70
2026-07-05,70
2026-07-06,70
2026-07-07,70
2026-07-08,70
2026-07-09,70
2026-07-10,70
2026-07-11,51
2026-07-12,51
2026-07-13,51
2026-07-14,51
2026-07-15,51
2026-07-16,51
2026-07-17,51
2026-07-18,51
2026-07-19,51
2026-07-20,51
2026-07-21,51
2026-07-22,51
2026-07-23,51
2026-07-24,51
2026-07-25,47
2026-07-26,47
2026-07-27,47
2026-07-28,47
2026-07-29,47
2026-07-30,47
2026-07-31,47
2026-08-01,47
2026-08-02,47
2026-08-03,47
2026-08-04,47
2026-08-05,47
2026-08-06,46
2026-08-07,46
